역이름,y,x,호선
동대문,37.57142,127.009745,1호선
동묘앞,37.572627,127.016429,1호선
서울역,37.555078,126.970702,1호선
시청,37.564718,126.977108,1호선
신설동,37.575297,127.025087,1호선
제기동,37.578103,127.034893,1호선
종각,37.570161,126.982923,1호선
종로3가,37.571607,126.991806,1호선
종로5가,37.570926,127.001849,1호선
청량리(서울시립대입구),37.580178,127.046835,1호선
길음,37.603407,127.025053,4호선
남태령,37.463873,126.989134,4호선
노원,37.655128,127.061368,4호선
당고개,37.670272,127.079066,4호선
동대문역사문화공원(DDP),37.565138,127.007896,4호선
동작(현충원),37.502971,126.979306,4호선
명동,37.560989,126.986325,4호선
미아(서울사이버대학),37.62667,127.025983,4호선
미아사거리,37.613292,127.030053,4호선
사당,37.47653,126.981685,4호선
삼각지,37.534777,126.97311,4호선
상계,37.660878,127.073572,4호선
성신여대입구(돈암),37.592624,127.016403,4호선
수유(강북구청),37.638052,127.025732,4호선
숙대입구(갈월),37.54456,126.972106,4호선
신용산,37.52917,126.967894,4호선
쌍문,37.648627,127.034709,4호선
이촌(국립중앙박물관),37.522272,126.974345,4호선
창동,37.653166,127.047731,1호선
총신대입구(이수),37.486263,126.981989,4호선
충무로,37.561243,126.99428,4호선
한성대입구(삼선교),37.588458,127.006221,4호선
혜화,37.582336,127.001844,4호선
회현(남대문시장),37.558514,126.978246,4호선
남영,37.541021,126.9713,1호선
노량진,37.514219,126.942454,1호선
대방,37.513342,126.926382,1호선
신길,37.517122,126.917169,1호선
영등포,37.515504,126.907628,1호선
용산,37.529849,126.964561,1호선
가산디지털단지,37.481072,126.882343,1호선
관악,37.419232,126.908706,1호선
광명,37.416182,126.884466,1호선
구로,37.503039,126.881966,1호선
군포,37.35356,126.948462,1호선
금정,37.372221,126.943429,1호선
금천구청,37.455626,126.89398,1호선
남영,37.541021,126.9713,1호선
노량진,37.514219,126.942454,1호선
당정,37.344285,126.948345,1호선
대방,37.513342,126.926382,1호선
독산,37.466613,126.889249,1호선
두정,36.833705,127.14896,1호선
명학,37.384653,126.935433,1호선
병점,37.207503,127.032731,1호선
서동탄,37.195504,127.051672,1호선
서울역,37.554648,126.972559,1호선
서정리,37.056496,127.052819,1호선
석수,37.435047,126.902295,1호선
성균관대,37.300349,126.97075,1호선
성환,36.916076,127.126964,1호선
세류,37.245025,127.013222,1호선
세마,37.187533,127.04318,1호선
송탄,37.075696,127.054301,1호선
수원,37.265974,126.999874,1호선
신길,37.517122,126.917169,1호선
신도림,37.508725,126.891295,1호선
안양,37.401592,126.922874,1호선
영등포,37.515504,126.907628,1호선
오산,37.145885,127.06672,1호선
오산대,37.168953,127.063197,1호선
용산,37.529849,126.964561,1호선
의왕,37.320852,126.948217,1호선
직산,36.870593,127.143904,1호선
진위,37.109447,127.062278,1호선
천안,36.810005,127.146826,1호선
평택,36.990726,127.085159,1호선
평택지제,37.0188,127.070444,1호선
화서,37.283862,126.989627,1호선
가능,37.748577,127.044213,1호선
광운대,37.623632,127.061835,1호선
녹양,37.75938,127.042292,1호선
녹천,37.644799,127.051269,1호선
덕계,37.818486,127.056486,1호선
덕정,37.843188,127.061277,1호선
도봉,37.679563,127.045595,1호선
도봉산,37.689313,127.046222,1호선
동두천,37.927878,127.05479,1호선
동두천중앙,37.901885,127.056482,1호선
망월사,37.709914,127.047455,1호선
방학,37.667503,127.044273,1호선
보산,37.913702,127.057277,1호선
서빙고,37.519594,126.988537,경의중앙
석계,37.614805,127.065851,1호선
소요산,37.9481,127.061034,1호선
신이문,37.601854,127.067325,1호선
양주,37.774381,127.044708,1호선
옥수,37.540685,127.017965,3호선
왕십리(성동구청),37.561533,127.037732,2호선
외대앞,37.596073,127.063549,1호선
월계,37.633212,127.058831,1호선
응봉,37.549946,127.034538,경의중앙
의정부,37.738415,127.045958,1호선
이촌(국립중앙박물관),37.522272,126.974345,4호선
지행,37.892334,127.055716,1호선
창동,37.653166,127.047731,1호선
청량리(서울시립대입구),37.580178,127.046835,1호선
한남,37.52943,127.009169,경의중앙
회룡,37.724846,127.046895,1호선
간석,37.464737,126.694181,1호선
개봉,37.494594,126.85868,1호선
구일,37.496756,126.870793,1호선
도원,37.468446,126.642706,1호선
도화,37.46607,126.668672,1호선
동암,37.471408,126.702896,1호선
동인천,37.475276,126.632802,1호선
백운,37.483664,126.707704,1호선
부개,37.488418,126.74109,1호선
부천,37.48405,126.782686,1호선
부평,37.489493,126.724805,1호선
소사,37.482753,126.79544,1호선
송내,37.4876,126.753664,1호선
역곡,37.485178,126.811502,1호선
오류동,37.494526,126.845365,1호선
온수(성공회대입구),37.492258,126.823388,1호선
인천,37.476691,126.616936,1호선
제물포,37.466769,126.656666,1호선
주안,37.464941,126.679923,1호선
중동,37.486562,126.764843,1호선
배방,36.777629,127.052991,1호선
봉명,36.801215,127.135763,1호선
신창(순천향대),36.769502,126.951108,1호선
쌍용(나사렛대),36.793759,127.1214,1호선
아산,36.792053,127.104361,1호선
온양온천,36.780483,127.003249,1호선
탕정,36.788461,127.084901,1호선
강남,37.497175,127.027926,2호선
강변(동서울터미널),37.535095,127.094681,2호선
건대입구,37.540693,127.07023,2호선
교대(법원.검찰청),37.493415,127.01408,2호선
구로디지털단지,37.485266,126.901401,2호선
구의(광진구청),37.537077,127.085916,2호선
낙성대(강감찬),37.47693,126.963693,2호선
당산,37.53438,126.902281,2호선
대림(구로구청),37.49297,126.895801,2호선
도림천,37.514287,126.882768,2호선
동대문역사문화공원(DDP),37.565138,127.007896,4호선
뚝섬,37.547184,127.047367,2호선
문래,37.517933,126.89476,2호선
방배,37.481426,126.997596,2호선
봉천,37.482362,126.941892,2호선
사당,37.47653,126.981685,2호선
삼성(무역센터),37.508844,127.06316,2호선
상왕십리,37.564354,127.029354,2호선
서울대입구(관악구청),37.481247,126.952739,2호선
서초,37.491897,127.007917,2호선
선릉,37.504503,127.049008,2호선
성수,37.544581,127.055961,2호선
시청,37.564718,126.977108,1호선
신답,37.57004,127.046481,2호선
신당,37.565972,127.01782,2호선
신대방,37.48754896,126.9133185,2호선
신도림,37.508725,126.891295,1호선
신림,37.484201,126.929715,2호선
신설동,37.575297,127.025087,1호선
신정네거리,37.520074,126.852912,2호선
신촌,37.555134,126.936893,2호선
아현,37.557345,126.956141,2호선
양천구청,37.512398,126.865819,2호선
역삼,37.500622,127.036456,2호선
영등포구청,37.52497,126.895951,2호선
왕십리(성동구청),37.561533,127.037732,2호선
용답,37.561904,127.050899,2호선
용두(동대문구청),37.574028,127.038091,2호선
을지로3가,37.566295,126.99191,2호선
을지로4가,37.566941,126.998079,2호선
을지로입구,37.566014,126.982618,2호선
이대,37.556733,126.946013,2호선
잠실(송파구청),37.51395,127.102234,2호선
잠실나루,37.520733,127.10379,2호선
잠실새내,37.511687,127.086162,2호선
종합운동장,37.510997,127.073642,2호선
충정로(경기대입구),37.559973,126.963672,2호선
한양대,37.555273,127.043655,2호선
합정,37.549463,126.913739,2호선
홍대입구,37.557192,126.925381,2호선
가락시장,37.492522,127.118234,3호선
경복궁(정부서울청사),37.575762,126.97353,3호선
경찰병원,37.495918,127.12454,3호선
고속터미널,37.50481,127.004943,3호선
교대(법원.검찰청),37.493415,127.01408,2호선
구파발,37.636763,126.918821,3호선
금호,37.548034,127.015872,3호선
남부터미널(예술의전당),37.485013,127.016189,3호선
녹번,37.600927,126.935756,3호선
대청,37.493514,127.079532,3호선
대치,37.494612,127.063642,3호선
도곡,37.490858,127.055381,3호선
독립문,37.574571,126.957748,3호선
동대입구,37.559052,127.005602,3호선
매봉,37.486947,127.046769,3호선
무악재,37.582299,126.950291,3호선
불광,37.610469,126.929887,3호선
수서,37.487371,127.10188,3호선
신사,37.516334,127.020114,3호선
안국,37.576477,126.985443,3호선
압구정,37.527072,127.028461,3호선
약수,37.55434,127.010655,3호선
양재(서초구청),37.484147,127.034631,3호선
연신내,37.619001,126.921008,3호선
오금,37.502162,127.128111,3호선
옥수,37.540685,127.017965,3호선
을지로3가,37.566295,126.99191,2호선
일원,37.483681,127.08439,3호선
잠원,37.512759,127.01122,3호선
종로3가,37.571607,126.991806,1호선
지축,37.648048,126.913951,3호선
충무로,37.561243,126.99428,3호선
학여울,37.496663,127.070594,3호선
홍제,37.589066,126.943736,3호선
고잔,37.316777,126.823249,4호선
대야미,37.328467,126.917332,4호선
반월,37.312212,126.903524,4호선
산본,37.358101,126.933274,4호선
상록수,37.302795,126.866489,4호선
수리산,37.349801,126.925365,4호선
신길온천,37.338212,126.765844,4호선
안산,37.327082,126.788532,4호선
오이도,37.362357,126.738714,4호선
정왕,37.351735,126.742989,4호선
중앙,37.315941,126.838573,4호선
초지,37.320646,126.805913,4호선
한대앞,37.309689,126.85344,4호선
대곡,37.631626,126.811024,3호선
대화,37.676087,126.747569,3호선
마두,37.652206,126.77762,3호선
백석,37.643114,126.78787,3호선
삼송,37.653083,126.895558,3호선
원당,37.653324,126.843041,3호선
원흥,37.650658,126.872642,3호선
정발산,37.659477,126.773359,3호선
주엽,37.670072,126.761334,3호선
지축,37.648048,126.913951,3호선
화정,37.634592,126.83265,3호선
경마공원,37.443885,127.007888,4호선
과천,37.433021,126.996568,4호선
대공원,37.435675,127.006523,4호선
범계,37.389793,126.950806,4호선
선바위,37.451673,127.002303,4호선
인덕원,37.401553,126.976715,4호선
정부과천청사,37.426513,126.98978,4호선
평촌,37.394287,126.963883,4호선
강동,37.535804,127.132481,5호선
강일,37.55746581,127.1758642,5호선
개롱,37.498079,127.13482,5호선
개화산,37.572399,126.806171,5호선
거여,37.493105,127.14415,5호선
고덕,37.555004,127.154151,5호선
공덕,37.544018,126.951592,5호선
광나루(장신대),37.545303,127.10357,5호선
광화문(세종문화회관),37.571026,126.976669,5호선
군자(능동),37.557121,127.079542,5호선
굽은다리(강동구민회관앞),37.545477,127.142853,5호선
길동,37.537801,127.140004,5호선
김포공항,37.562434,126.801058,5호선
까치산,37.531768,126.846683,5호선
답십리,37.566747,127.052704,5호선
동대문역사문화공원(DDP),37.565138,127.007896,5호선
둔촌동,37.527788,127.136248,5호선
마곡,37.560183,126.825448,5호선
마장,37.5661,127.042973,5호선
마천,37.49499,127.152781,5호선
마포,37.539574,126.945932,5호선
명일,37.55137,127.143999,5호선
목동,37.526065,126.864931,5호선
미사,37.56313223,127.1929688,5호선
발산,37.558598,126.837668,5호선
방이,37.508857,127.126133,5호선
방화,37.577446,126.812741,5호선
상일동,37.556712,127.166417,5호선
서대문,37.565773,126.966641,5호선
송정,37.565773,126.966641,5호선
신금호,37.554548,127.020331,5호선
신길,37.517122,126.917169,5호선
신정(은행정),37.524997,126.856191,5호선
아차산(어린이대공원후문),37.551691,127.089761,5호선
애오개,37.553736,126.95682,5호선
양평,37.525648,126.885778,5호선
여의나루,37.527098,126.932901,5호선
여의도,37.521624,126.924191,5호선
영등포구청,37.52497,126.895951,5호선
영등포시장,37.522669,126.905139,5호선
오금,37.502162,127.128111,5호선
오목교(목동운동장앞),37.524496,126.875181,5호선
올림픽공원(한국체대),37.516078,127.130848,5호선
왕십리(성동구청),37.561533,127.037732,5호선
우장산,37.548768,126.836318,5호선
을지로4가,37.566941,126.998079,5호선
장한평,37.56144,127.064623,5호선
종로3가,37.559973,126.963672,5호선
천호(풍납토성),37.538397,127.123572,5호선
청구,37.560245,127.013828,5호선
충정로(경기대입구),37.559973,126.963672,5호선
하남검단산,37.53980936,127.2232493,5호선
하남시청(덕풍?신장),37.54168299,127.2068695,5호선
하남풍산,37.55212532,127.2039122,5호선
행당,37.557322,127.029476,5호선
화곡,37.541513,126.840461,5호선
고려대(종암),37.590508,127.036296,6호선
공덕,37.544018,126.951592,6호선
광흥창(서강),37.547456,126.931993,6호선
구산,37.611377,126.91727,6호선
녹사평(용산구청),37.534675,126.986695,6호선
대흥(서강대앞),37.547771,126.942069,6호선
독바위,37.618456,126.933031,6호선
돌곶이,37.610537,127.056431,6호선
동묘앞,37.572627,127.016429,6호선
디지털미디어시티,37.576646,126.900984,6호선
마포구청,37.563515,126.903343,6호선
망원,37.556094,126.910052,6호선
버티고개,37.548013,127.007055,6호선
보문,37.585286,127.019381,6호선
봉화산(서울의료원),37.617283,127.091401,6호선
불광,37.610469,126.929887,6호선
삼각지,37.534777,126.97311,6호선
상수,37.547716,126.922852,6호선
상월곡(한국과학기술연구원),37.606377,127.048491,6호선
새절(신사),37.591148,126.913629,6호선
석계,37.614805,127.065851,6호선
신내,37.612887,127.103218,6호선
신당,37.565972,127.01782,6호선
안암(고대병원앞),37.586272,127.029005,6호선
약수,37.55434,127.010655,6호선
역촌,37.606021,126.922744,6호선
연신내,37.619001,126.921008,6호선
월곡(동덕여대),37.601948,127.041518,6호선
월드컵경기장(성산),37.569532,126.899298,6호선
응암,37.598605,126.915577,6호선
이태원,37.534488,126.994302,6호선
증산(명지대앞),37.583876,126.909645,6호선
창신,37.579661,127.015241,6호선
청구,37.560245,127.013828,6호선
태릉입구,37.617983,127.07512,6호선
한강진,37.539631,127.001725,6호선
합정,37.549463,126.913739,6호선
화랑대(서울여대입구),37.620064,127.084689,6호선
효창공원앞,37.539261,126.961351,6호선
가산디지털단지,37.481072,126.882343,7호선
강남구청,37.517186,127.04128,7호선
건대입구,37.540693,127.07023,7호선
고속터미널,37.50481,127.004943,7호선
공릉(서울과학기술대),37.625742,127.072896,7호선
광명사거리,37.479252,126.854876,7호선
군자(능동),37.557121,127.079542,7호선
까치울,37.506207,126.810939,7호선
남구로,37.486056,126.887249,7호선
남성,37.484596,126.971251,7호선
내방,37.487618,126.993513,7호선
노원,37.655128,127.061368,7호선
논현,37.511093,127.021415,7호선
대림(구로구청),37.49297,126.895801,7호선
도봉산,37.689313,127.046222,7호선
뚝섬유원지,37.53154,127.066704,7호선
마들,37.66494,127.057675,7호선
먹골,37.610637,127.077725,7호선
면목,37.588579,127.087503,7호선
반포,37.508178,127.011727,7호선
보라매,37.499872,126.920428,7호선
부평구청,37.508336,126.720548,7호선
사가정,37.580894,127.088478,7호선
상도,37.502834,126.94791,7호선
상동,37.505781,126.753083,7호선
상봉(시외버스터미널),37.596362,127.085032,7호선
수락산,37.67785,127.055315,7호선
숭실대입구(살피재),37.496029,126.953822,7호선
신대방삼거리,37.4997743,126.9281261,7호선
신중동,37.503048,126.77596,7호선
신풍,37.50008,126.90993,7호선
어린이대공원(세종대),37.548014,127.074658,7호선
온수(성공회대입구),37.492258,126.823388,7호선
용마산(용마폭포공원),37.573647,127.086727,7호선
이수,37.48743188,126.9822324,7호선
장승배기,37.504898,126.93915,7호선
장암,37.700109,127.053196,7호선
중계,37.644583,127.064303,7호선
중곡,37.565923,127.08432,7호선
중화,37.602545,127.079264,7호선
천왕,37.486637,126.838713,7호선
철산,37.47605,126.867911,7호선
청담,37.519365,127.05335,7호선
태릉입구,37.617983,127.07512,7호선
하계,37.636352,127.06799,7호선
학동,37.514229,127.031656,7호선
가락시장,37.492522,127.118234,8호선
강동구청,37.530341,127.120508,8호선
남위례,37.46288242,127.1390021,8호선
남한산성입구(성남법원.검찰청),37.451535,127.159816,8호선
단대오거리,37.44521,127.156866,8호선
모란,37.43213,127.129087,8호선
몽촌토성(평화의문),37.517409,127.112359,8호선
문정,37.485855,127.1225,8호선
복정,37.470047,127.126662,8호선
산성,37.457122,127.149908,8호선
석촌,37.505431,127.106979,8호선
송파,37.499703,127.112183,8호선
수진,37.437428,127.140722,8호선
신흥,37.440918,127.147564,8호선
암사,37.55021,127.127562,8호선
잠실(송파구청),37.51395,127.102234,8호선
장지,37.478703,127.126191,8호선
천호(풍납토성),37.538397,127.123572,8호선
가양,37.561391,126.854456,9호선
개화,37.578608,126.798153,9호선
고속터미널,37.50481,127.004943,9호선
공항시장,37.563726,126.810678,9호선
구반포,37.501364,126.987332,9호선
국회의사당,37.528105,126.917874,9호선
김포공항,37.562434,126.801058,9호선
노들,37.512887,126.953222,9호선
노량진,37.514219,126.942454,9호선
당산,37.53438,126.902281,9호선
동작(현충원),37.502971,126.979306,9호선
등촌,37.550632,126.865689,9호선
마곡나루(서울식물원),37.567336,126.829497,9호선
사평,37.504206,127.015259,9호선
샛강,37.517274,126.928422,9호선
선유도,37.53802,126.893525,9호선
신논현,37.504598,127.02506,9호선
신목동,37.544277,126.88308,9호선
신반포,37.503415,126.995925,9호선
신방화,37.567532,126.816601,9호선
양천향교,37.568381,126.841333,9호선
여의도,37.521624,126.924191,9호선
염창,37.546936,126.874916,9호선
증미,37.557402,126.861939,9호선
흑석(중앙대입구),37.50877,126.963708,9호선
둔촌오륜,37.51941117,127.1388209,9호선
봉은사,37.514219,127.060245,9호선
삼성중앙,37.513011,127.053282,9호선
삼전,37.50438592,127.0880836,9호선
석촌,37.505431,127.106979,9호선
석촌고분,37.50245919,127.0969208,9호선
선정릉,37.51098,127.043593,9호선
송파나루,37.51088835,127.1126555,9호선
언주,37.507287,127.033868,9호선
올림픽공원(한국체대),37.516078,127.130848,9호선
종합운동장,37.510997,127.073642,9호선
중앙보훈병원,37.52841926,127.1485519,9호선
한성백제,37.51558147,127.1155224,9호선
